代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
012126,泰达宏利新能源股票A,0.8,0.0,0.0,17.816,-6.872,11.743582706580902
012127,泰达宏利新能源股票C,0.8,0.0,0.0,17.816,-6.872,11.743582706580902
011122,汇添富ESG可持续成长A,0.8,0.0,0.0,17.812,-6.873,11.739424270163287
011123,汇添富ESG可持续成长C,0.8,0.0,0.0,17.809,-6.873,11.735760638297872
011285,民生价值优选6个月持有股票A,0.8,0.0,0.0,17.793,-6.875,11.717526892627413
011286,民生价值优选6个月持有股票C,0.8,0.0,0.0,17.793,-6.875,11.717526892627413
011645,国泰核心价值两年持有期股票A,0.8,0.0,0.0,17.762,-6.88,11.681554205838694
011923,大成消费精选股票A,0.8,0.0,0.0,17.762,-6.88,11.681554205838694
011646,国泰核心价值两年持有期股票C,0.8,0.0,0.0,17.76,-6.88,11.679374987629888
005433,申万菱信医药先锋股票,3.2,0.0,0.0,13.905,-5.426,11.678421580641963
011926,大成消费精选股票C,0.8,0.0,0.0,17.756,-6.88,11.675216551212273
011418,汇添富消费精选两年持有股票A,1.4,0.0,0.0,17.061,-6.793,11.66852647530544
010331,天弘消费股票A,1.4,0.0,0.0,17.061,-6.793,11.668277295948323
010332,天弘消费股票C,1.4,0.0,0.0,17.052,-6.794,11.657949506901668
011419,汇添富消费精选两年持有股票C,1.4,0.0,0.0,17.042,-6.795,11.646955057143401
009040,九泰久远量化驱动C,3.6,0.21,1.026,11.926,-5.122,11.639434436506525
010142,朱雀企业优选C,3.4,0.0,0.0,14.42,-6.19,11.63007601705971
007389,上投摩根研究驱动C,4.0,0.25,1.065,11.242,-4.939,11.618113958867585
011042,国泰价值先锋股票A,2.0,0.0,0.0,15.947,-6.567,11.38033029383065
011043,国泰价值先锋股票C,2.0,0.0,0.0,15.913,-6.579,11.333678116499142
010892,中银证券精选行业股票A,2.2,0.0,0.0,15.726,-6.606,11.320431271504042
011498,富国沪深300基本面精选股票A,0.6,0.0,0.0,17.6,-6.893,11.30764792182088
011499,富国沪深300基本面精选股票C,0.6,0.0,0.0,17.6,-6.893,11.30764792182088
010893,中银证券精选行业股票C,2.2,0.0,0.0,15.7,-6.612,11.287470294400155
006818,安信盈利驱动股票A,3.2,0.995,2.832,6.871,-2.636,11.262563647283061
010321,中银大健康股票C,3.2,0.0,0.0,14.125,-6.079,11.24691761309657
008261,招商研究优选股票A,3.0,0.383,1.137,11.252,-4.603,11.168881032003563
009733,创金合信港股通大消费精选股票A,3.2,0.0,0.0,14.027,-6.145,11.082164024784811
009106,嘉合同顺智选股票A,3.8,0.222,0.838,11.515,-5.346,11.028966612322366
008283,易方达金融行业股票,3.4,0.355,1.09,11.117,-4.948,11.014665406214197
012600,中银内核驱动股票C,0.4,0.0,0.0,17.465,-6.901,10.964166279069767
011321,国泰大健康股票C,2.0,0.0,0.0,15.634,-6.673,10.961701074312499
010469,圆信永丰聚优股票A,1.2,0.0,0.0,16.623,-6.863,10.959584111303926
010361,嘉实品质优选股票A,0.4,0.0,0.0,17.449,-6.902,10.947332533399305
010362,嘉实品质优选股票C,0.4,0.0,0.0,17.448,-6.902,10.9456481197427
010470,圆信永丰聚优股票C,1.2,0.0,0.0,16.607,-6.865,10.941756930776538
005707,富国港股通量化精选股票型,3.8,0.547,6.166,4.659,-4.247,10.92485670606666
