代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
008265,南方ESG股票C,5.8,0.442,1.337,15.455,-2.739,20.295943198538346
007471,博道叁佰智航股票C,5.2,1.108,2.956,11.352,-0.575,20.04143696776252
006868,华夏科技成长股票,5.0,0.923,3.86,10.153,-0.015,19.921364336476493
006675,宝盈品牌消费股票A,5.4,0.762,3.578,11.261,-1.213,19.789039230256193
009954,北信瑞丰优选成长,4.8,0.0,0.0,17.936,-3.0,19.736342132297416
005629,汇安趋势动力股票C,5.2,0.66,7.639,7.871,-1.77,19.600264031284283
160322,华夏港股通精选股票LOF,6.4,0.247,1.551,10.179,0.977,19.353988586181774
900029,中信证券量化优选A,5.8,0.428,1.137,15.265,-3.511,19.118276299452162
005970,国泰消费优选股票,5.6,1.002,3.122,10.377,-0.99,19.110658876731126
006676,宝盈品牌消费股票C,5.0,0.733,3.58,11.063,-1.432,18.943142646511653
900030,中信证券量化优选C,5.8,0.42,1.137,15.122,-3.603,18.87591816365421
540006,汇丰晋信大盘股票A,4.4,1.467,6.55,5.773,0.637,18.828117122689772
001277,博时国企改革股票,5.0,1.325,5.776,7.778,-1.101,18.778815305970145
007137,鹏扬元合量化大盘A,5.2,0.495,1.182,14.786,-2.889,18.774652679720273
010128,宝盈发展新动能股票A,4.8,0.0,0.0,17.749,-3.95,18.598511317480284
010129,宝盈发展新动能股票C,4.8,0.0,0.0,17.737,-3.974,18.563639735044347
007138,鹏扬元合量化大盘C,5.2,0.488,1.182,14.671,-2.988,18.553505409687073
004484,泰达宏利业绩股票A,4.2,1.535,5.882,6.058,0.612,18.286444598739795
005209,东吴双三角股票A,4.4,0.912,7.932,5.798,-0.991,18.051433024415886
007548,易方达ESG责任投资股票,5.0,0.463,1.387,14.214,-3.025,18.038235784993308
008445,融通产业趋势先锋股票,6.0,0.0,0.0,15.316,-3.468,17.847608597246566
009491,宝盈创新驱动股票A,4.8,0.0,0.0,17.422,-4.427,17.794342755683214
009492,宝盈创新驱动股票C,4.8,0.0,0.0,17.386,-4.45,17.73608147619438
004485,泰达宏利业绩股票C,4.2,1.5,5.883,5.766,0.341,17.69013466110817
005210,东吴双三角股票C,4.4,0.89,7.932,5.612,-1.226,17.608489542517624
010685,工银前沿医疗股票C,4.6,0.0,0.0,17.014,-4.043,17.57083119593434
001583,安信新常态股票A,4.8,1.372,5.847,6.015,-0.576,17.45746270642097
002387,工银沪港深股票A,4.8,1.04,7.29,6.322,-2.198,17.25340832872634
005505,前海开源中药股票A,4.4,1.135,6.462,5.73,-0.527,17.20014536248896
008294,朱雀企业优胜A,5.4,0.0,0.0,14.886,-3.101,17.184181141665213
006195,国金量化多因子,5.4,0.755,2.602,11.204,-2.848,17.113011628053293
007685,华商电子行业量化股票,5.2,0.238,1.435,14.207,-4.025,17.054480051333684
005506,前海开源中药股票C,4.4,1.128,6.459,5.637,-0.627,16.99649459343098
008860,民生加银龙头优选股票,4.6,0.475,1.264,13.768,-3.178,16.928976206733875
008286,易方达研究精选股票,4.6,0.463,1.304,13.848,-3.304,16.91148102832684
007523,汇添富内需增长股票A,5.2,0.358,1.395,13.645,-3.842,16.75613702640735
009017,银华港股通精选股票发起式,5.0,0.235,1.501,14.107,-4.177,16.665141680162794
000979,景顺长城沪港深精选股票,4.8,1.685,4.27,6.938,-1.064,16.629983988782882
009398,华富成长企业精选股票,5.6,0.0,0.0,14.863,-3.84,16.62296434052569
008295,朱雀企业优胜C,5.0,0.0,0.0,14.767,-3.193,16.573142147493563
010003,景顺长城电子信息产业股票A,4.4,0.0,0.0,16.737,-4.623,16.5134944342008
010004,景顺长城电子信息产业股票C,4.4,0.0,0.0,16.704,-4.642,16.462643830785844
007590,华宝绿色领先股票,5.2,0.3,1.174,13.673,-4.029,16.317575132405807
009513,创金同顺创业板精选股票A,4.6,0.0,0.0,16.707,-5.061,16.24596675605546
009476,建信食品饮料行业股票,4.8,0.0,0.0,16.599,-5.163,16.235380526566203
007512,工银沪港深股票C,4.8,0.587,3.834,10.1,-3.09,16.230433680191933
009514,创金同顺创业板精选股票C,4.6,0.0,0.0,16.675,-5.084,16.19085868970236
010812,中银战略新兴产业股票C,4.4,0.0,0.0,16.709,-4.988,16.121188206009528
007524,汇添富内需增长股票C,4.8,0.352,1.394,13.48,-3.914,16.11252179976726
008412,长盛竞争优势股票A,4.4,0.0,0.0,16.532,-4.858,16.073326964672447
005960,博时量化价值股票A,4.8,0.925,2.642,10.105,-2.403,16.069449234178204
011323,国泰智能汽车股票C,3.2,0.0,0.0,17.775,-4.957,16.0181292248924
008413,长盛竞争优势股票C,4.4,0.0,0.0,16.48,-4.894,15.985327623185974
000974,安信消费医药股票,4.0,1.265,6.896,4.935,-1.222,15.874598354382066
